,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Vaini,0,IN,1551762000,28,15.34,74.49,82.4,5.82
1,Punta Arenas,75,CL,1551764592,86,-53.16,-70.91,39.2,23.04
2,Oktyabrskoye,75,RU,1551764756,68,56.73,85.44,30.0,17.9
3,Sucua,12,EC,1551764958,84,-2.46,-78.17,62.24,2.17
4,Rikitea,48,PF,1551764768,97,-23.12,-134.97,81.01,14.58
5,La Ronge,20,CA,1551762000,47,55.1,-105.3,12.2,8.05
6,Ushuaia,40,AR,1551762000,75,-54.81,-68.31,41.0,8.05
7,Asosa,20,ET,1551764959,23,10.07,34.53,76.06,3.96
8,Namibe,12,AO,1551764960,100,-15.19,12.15,77.23,3.96
9,Qaanaaq,32,GL,1551764960,77,77.48,-69.36,-8.23,7.43
10,New Norfolk,75,AU,1551764836,56,-42.78,147.06,72.0,11.41
11,Labuhan,32,ID,1551764839,59,-2.54,115.51,90.01,3.74
12,Henties Bay,44,NA,1551762124,89,-22.12,14.28,66.0,4.0
13,Majene,20,ID,1551764961,92,-3.54,118.97,84.29,8.43
14,Hobart,75,AU,1551764840,56,-42.88,147.33,72.0,11.41
15,Tambilil,75,PH,1551762000,34,5.96,124.67,96.8,11.41
16,Tecpan,20,GT,1551764754,72,14.76,-90.99,68.0,6.93
17,Chitose,20,JP,1551763810,55,42.79,141.51,42.01,8.05
18,Victoria,75,BN,1551763800,66,5.28,115.24,89.6,5.82
19,Mani,0,GR,1551764963,85,41.41,26.4,38.53,8.21
20,Waingapu,12,ID,1551764964,94,-9.65,120.26,83.71,5.86
21,Komsomolskiy,56,RU,1551764964,70,67.55,63.78,-11.07,8.99
22,Atuona,12,PF,1551764964,100,-9.8,-139.03,82.13,13.91
23,Barrow,0,AR,1551764965,72,-38.31,-60.23,55.13,4.74
24,Carballo,40,ES,1551764914,87,43.21,-8.69,53.01,11.41
25,Faanui,64,PF,1551764928,100,-16.48,-151.75,83.44,8.43
26,Jutai,64,BR,1551764965,98,-1.71,-47.89,72.14,2.39
27,Eyl,100,SO,1551764966,91,7.98,49.82,79.07,15.26
28,Ahipara,0,NZ,1551764966,70,-35.17,173.16,69.49,9.44
29,Dikson,80,RU,1551764967,96,73.51,80.55,9.28,22.19
30,Popondetta,48,PG,1551764967,87,-8.77,148.24,76.82,1.61
31,Kamenka,92,RU,1551764480,86,53.19,44.05,32.0,13.8
32,Busselton,8,AU,1551764712,23,-33.64,115.35,82.0,16.26
33,Najran,5,SA,1551762000,27,17.54,44.22,64.4,2.24
34,Karsava,56,LV,1551764968,92,56.78,27.69,39.47,14.14
35,Mataura,0,NZ,1551764406,80,-46.19,168.86,69.01,7.0
36,Vila Velha,40,BR,1551764904,88,-3.71,-38.6,79.0,5.82
37,Kikwit,64,CD,1551764969,96,-5.04,18.82,73.13,4.41
38,Yellowknife,20,CA,1551763080,72,62.45,-114.38,10.4,16.11
39,Ilulissat,56,GL,1551761400,78,69.22,-51.1,14.0,5.82
40,Vila Franca do Campo,40,PT,1551764917,87,37.72,-25.43,55.4,36.91
41,Puerto Ayora,0,EC,1551764970,100,-0.74,-90.35,79.66,6.31
42,Kenai,1,US,1551764824,85,60.55,-151.26,25.0,6.08
43,Bredasdorp,0,ZA,1551762977,87,-34.53,20.04,57.99,1.12
44,Cape Town,0,ZA,1551764715,87,-33.93,18.42,66.0,8.05
45,Saskylakh,76,RU,1551764798,72,71.97,114.09,-6.48,4.85
46,Los Llanos de Aridane,0,ES,1551763800,67,28.66,-17.92,59.0,9.17
47,Lebu,12,ET,1551764972,68,8.96,38.73,60.76,3.85
48,Talnakh,88,RU,1551764972,81,69.49,88.39,23.09,13.02
49,Clyde River,90,CA,1551762300,83,70.47,-68.59,-4.01,3.36
50,Calama,0,CL,1551762000,74,-22.46,-68.93,51.8,16.11
51,Darapidap,0,PH,1551764973,46,17.21,120.41,85.78,6.64
52,Butaritari,68,KI,1551764843,100,3.07,172.79,83.08,17.72
53,Tazovskiy,68,RU,1551764974,88,67.47,78.7,12.65,19.39
54,Kaliua,8,TZ,1551764974,90,-5.06,31.79,68.41,2.73
55,Salinopolis,80,BR,1551764974,98,-0.61,-47.36,79.52,8.66
56,Kodiak,1,US,1551764971,30,39.95,-94.76,10.4,11.41
